  run year index     sng      sdg      sdc       og       rt      pop     area    edges clusters    xmean    ymean      rad    slope  cl_size   diffus   spread    breed  slp_res  rd_grav   %urban    %road grw_rate leesalee  grw_pix 
   17 2020  3       0.80     0.00     0.00    57.20     2.00 25734.60 25734.60 17400.00  2917.40   198.15   192.95    90.51     0.90     8.00     0.14     0.14     0.14   100.00    44.42    37.68     0.00     0.23     0.38    60.00 
   18 2007  1       1.40     0.00     0.00    52.00     0.00 24950.80 24950.80 17008.20  2884.40   198.02   193.19    89.12     0.90     8.00     0.53     0.53     0.53    87.55    73.74    30.31     0.00     0.21     0.59    53.40 
   18 2014  2       0.40     0.00     0.00    57.00     1.40 25368.60 25368.60 17220.60  2899.40   198.11   193.10    89.86     0.90     8.00     0.25     0.25     0.25   100.00    71.62    36.47     0.00     0.23     0.52    58.80 
   18 2020  3       0.80     0.00     0.00    57.80     1.80 25740.00 25740.00 17400.20  2911.00   198.15   192.97    90.52     0.90     8.00     0.14     0.14     0.14   100.00    69.42    37.69     0.00     0.23     0.38    60.40 
   19 2007  1       1.40     0.00     0.00    52.00     0.00 24950.80 24950.80 17008.20  2884.40   198.02   193.19    89.12     0.90     8.00     0.53     0.53     0.53    87.55    98.74    30.31     0.00     0.21     0.59    53.40 
   19 2014  2       0.40     0.00     0.00    57.00     1.40 25368.60 25368.60 17220.60  2899.40   198.11   193.10    89.86     0.90     8.00     0.25     0.25     0.25   100.00    96.62    36.47     0.00     0.23     0.52    58.80 
   19 2020  3       0.80     0.00     0.00    57.80     1.80 25740.00 25740.00 17400.20  2911.00   198.15   192.97    90.52     0.90     8.00     0.14     0.14     0.14   100.00    94.42    37.69     0.00     0.23     0.38    60.40 
   20 2007  1       1.60     0.00     0.00    54.80     1.60 24951.20 24951.20 17001.60  2894.00   197.95   193.24    89.12     0.90     8.00     0.53     0.53     0.53   100.00     0.79    30.31     0.00     0.23     0.59    58.00 
   20 2014  2       0.40     0.00     0.00    56.60     0.80 25372.00 25372.00 17211.80  2909.60   198.03   193.12    89.87     0.90     8.00     0.25     0.25     0.25   100.00     1.00    36.47     0.00     0.23     0.52    57.80 
   20 2020  3       0.60     0.00     0.00    59.20     2.80 25748.00 25748.00 17399.20  2919.60   198.06   193.01    90.53     0.90     8.00     0.14     0.14     0.14   100.00     1.00    37.69     0.00     0.24     0.38    62.60 
   21 2007  1       1.20     0.00     0.00    58.80     0.00 24952.80 24952.80 16995.40  2895.00   198.08   193.18    89.12     0.90     8.00     0.53     0.53     0.53   100.00    23.74    30.31     0.00     0.24     0.59    60.00 
   21 2014  2       0.40     0.00     0.00    56.80     0.80 25364.60 25364.60 17183.40  2917.00   198.14   193.15    89.85     0.90     8.00     0.25     0.25     0.25   100.00    21.62    36.47     0.00     0.23     0.52    58.00 
   21 2020  3       1.00     0.00     0.00    61.60     1.60 25729.00 25729.00 17375.20  2926.00   198.15   193.01    90.50     0.90     8.00     0.14     0.14     0.14   100.00    19.42    37.68     0.00     0.25     0.38    64.20 
   22 2007  1       1.40     0.00     0.00    59.80     0.00 24941.40 24941.40 17000.00  2885.40   197.98   193.22    89.10     0.90     8.00     0.53     0.53     0.53   100.00    48.74    30.31     0.00     0.25     0.59    61.20 
   22 2014  2       0.80     0.00     0.00    57.00     3.00 25368.40 25368.40 17206.00  2897.60   198.08   193.08    89.86     0.90     8.00     0.25     0.25     0.25   100.00    46.62    36.47     0.00     0.24     0.52    60.80 
   22 2020  3       0.80     0.00     0.00    52.80     1.20 25735.20 25735.20 17378.40  2900.40   198.12   192.97    90.51     0.90     8.00     0.14     0.14     0.14   100.00    44.42    37.68     0.00     0.21     0.38    54.80 
   23 2007  1       1.40     0.00     0.00    59.80     0.00 24941.40 24941.40 17000.00  2885.40   197.98   193.22    89.10     0.90     8.00     0.53     0.53     0.53   100.00    73.74    30.31     0.00     0.25     0.59    61.20 
   23 2014  2       0.80     0.00     0.00    57.00     3.00 25368.40 25368.40 17206.00  2897.60   198.08   193.08    89.86     0.90     8.00     0.25     0.25     0.25   100.00    71.62    36.47     0.00     0.24     0.52    60.80 
   23 2020  3       0.80     0.00     0.00    52.80     1.20 25735.20 25735.20 17378.40  2900.40   198.12   192.97    90.51     0.90     8.00     0.14     0.14     0.14   100.00    69.42    37.68     0.00     0.21     0.38    54.80 
   24 2007  1       1.40     0.00     0.00    59.80     0.00 24941.40 24941.40 17000.00  2885.40   197.98   193.22    89.10     0.90     8.00     0.53     0.53     0.53   100.00    98.74    30.31     0.00     0.25     0.59    61.20 
   24 2014  2       0.80     0.00     0.00    57.00     3.00 25368.40 25368.40 17206.00  2897.60   198.08   193.08    89.86     0.90     8.00     0.25     0.25     0.25   100.00    96.62    36.47     0.00     0.24     0.52    60.80 
   24 2020  3       0.80     0.00     0.00    52.80     1.20 25735.20 25735.20 17378.40  2900.40   198.12   192.97    90.51     0.90     8.00     0.14     0.14     0.14   100.00    94.42    37.68     0.00     0.21     0.38    54.80 
   25 2007  1       3.40     0.00     0.00  1893.60     5.40 36692.20 36692.20 21317.40  2809.80   199.53   189.87   108.07     0.88    12.40     1.06    26.54     1.06     1.00     2.44    37.40     0.00     5.18     0.55  1902.40 
   25 2014  2       2.60     0.00     0.00  2224.80     4.40 51286.20 51286.20 24095.00  2383.40   201.50   187.57   127.77     0.86    21.00     1.14    28.45     1.14     1.00     5.32    52.83     0.00     4.35     0.49  2231.80 
   25 2020  3       2.00     0.00     0.00  2384.00     1.60 64989.40 64989.40 25042.00  1968.60   203.30   187.51   143.83     0.85    32.20     1.21    30.20     1.21     1.00     8.70    62.64     0.00     3.67     0.46  2387.60 
   26 2007  1       3.20     0.00     0.00  1897.80     3.00 36801.20 36801.20 21307.00  2817.60   199.63   189.76   108.23     0.88    12.40     1.06    26.54     1.06     1.00    26.44    37.47     0.00     5.17     0.55  1904.00 
   26 2014  2       2.20     0.40     0.00  2214.40     2.60 51424.00 51424.00 24153.20  2377.80   201.45   187.45   127.94     0.86    21.00     1.14    28.45     1.14     1.00    29.33    52.92     0.00     4.32     0.49  2219.60 
   26 2020  3       1.40     0.00     0.00  2352.60     3.80 65154.40 65154.40 25075.80  1996.40   203.17   187.28   144.01     0.85    31.80     1.21    30.20     1.21     1.00    32.71    62.74     0.00     3.62     0.46  2357.80 
   27 2007  1       3.00     0.00     0.00  1930.20     4.80 36756.00 36756.00 21338.00  2825.00   199.38   189.81   108.17     0.88    12.40     1.06    26.54     1.06     1.00    51.44    37.44     0.00     5.27     0.55  1938.00 
   27 2014  2       2.80     0.40     0.00  2197.20     3.00 51462.00 51462.00 24100.20  2373.40   201.27   187.43   127.99     0.86    21.00     1.14    28.45     1.14     1.00    54.32    52.94     0.00     4.28     0.49  2203.40 
   27 2020  3       2.40     0.00     0.00  2332.40     2.20 65131.00 65131.00 25051.00  1943.40   202.86   187.27   143.99     0.85    32.80     1.21    30.20     1.21     1.00    57.71    62.73     0.00     3.59     0.46  2337.00 
   28 2007  1       3.00     0.00     0.00  1930.20     4.80 36756.00 36756.00 21338.00  2825.00   199.38   189.81   108.17     0.88    12.40     1.06    26.54     1.06     1.00    76.44    37.44     0.00     5.27     0.55  1938.00 
